Exercise Name,Category,Primary Muscle,Secondary Muscle,Equipment,Exercise Type,Movement Pattern,Priority Rating,Training Sessions,Last Weight,Last Sets/Reps,Notes
hollow body rock,Core,Abs,Hip Flexors,Bodyweight,Dynamic,Anti-Extension,Medium Priority,1,,,
"plank to pike, to plank, wide leg",Core,Abs,"Shoulders, Hip Flexors",Bodyweight,Dynamic,Flexion,Medium Priority,1,,,
"plank to side plank, knee to elbow",Core,Obliques,"Abs, Shoulders",Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
"plank, arm reach",Core,Abs,Shoulders,Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
"plank, opposite arm and leg hold",Core,Abs,"Lower Back, Shoulders",Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
"plank, opposite knee to elbow, to sphinx, same knee to elbow",Core,Obliques,"Abs, Hip Flexors",Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
reach and cross,Core,Obliques,Abs,Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
reverse crunches,Core,Lower Abs,Hip Flexors,Bodyweight,Dynamic,Flexion,Medium Priority,1,,,
reverse plank marching,Core,Glutes,"Lower Back, Hamstrings",Bodyweight,Dynamic,Extension,Medium Priority,1,,,
"reverse plank, leg lift",Core,Glutes,"Lower Back, Hamstrings",Bodyweight,Dynamic,Extension,Medium Priority,1,,,
"side plank hold, legs apart",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Isometric,Anti-Lateral Flexion,Medium Priority,1,,,
side plank with hip dip,Core,Obliques,"Shoulders, Hips",Bodyweight,Dynamic,Lateral Flexion,Medium Priority,1,,1,
"side plank, leg lift, feet elevated",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Dynamic,Abduction,Medium Priority,1,,,
"side plank, legs apart",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Isometric,Anti-Lateral Flexion,Medium Priority,1,,,
"side plank, legs apart hold",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Isometric,Anti-Lateral Flexion,Medium Priority,1,,,
"side plank, tap front and back",Core,Obliques,"Hip Flexors, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"side plank, toe tap on front and back",Core,Obliques,"Hip Flexors, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
single arm reach,Core,Core,Shoulders,Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
single leg sphinx,Core,Abs,"Hip Flexors, Lower Back",Bodyweight,Stability,Anti-Extension,Medium Priority,1,,,
sliding plank,Core,Abs,"Shoulders, Hip Flexors",Bodyweight,Dynamic,Anti-Extension,Medium Priority,1,,,
sphinx - same side knee to elbow,Core,Obliques,"Abs, Hip Flexors",Bodyweight,Dynamic,Rotation,Medium Priority,1,,1,
"sphinx, opposite arm and leg hold",Core,Lower Back,"Glutes, Shoulders",Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
"sphinx, single arm and leg hold",Core,Lower Back,"Glutes, Shoulders",Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
star fish,Core,Abs,"Obliques, Hip Flexors",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"straight arm hanging, legs circle up",Core,Abs,"Grip, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
superman rock,Core,Lower Back,"Glutes, Shoulders",Bodyweight,Dynamic,Extension,Medium Priority,1,,,
plank to lunge,Full Body,Core,"Legs, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"plank, opposite knee to elbow, pushup",Full Body,Core,"Chest, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
adductor pull,Legs,Adductors,Inner Thigh,Bodyweight,Dynamic,Adduction,Medium Priority,1,,,
barbell RDL hold,Legs,Hamstrings,"Glutes, Lower Back",Barbell,Isometric,Hip Hinge,Medium Priority,1,10x2?,,25x2 RDL
"barbell RDL, hold",Legs,Hamstrings,"Glutes, Lower Back",Barbell,Isometric,Hip Hinge,Medium Priority,1,,,
glute thrust,Legs,Glutes,Hamstrings,Bodyweight,Isolation,Hip Extension,Medium Priority,1,,,
"side lunge, leg lift",Legs,Quads,"Adductors, Hip Abductors",Bodyweight,Dynamic,Complex,Medium Priority,1,23,,
single leg bridge,Legs,Glutes,"Hamstrings, Lower Back",Bodyweight,Isolation,Hip Extension,Medium Priority,1,12,,
"single leg squat, hand reach opposite leg/foot",Legs,Quads,"Glutes, Balance",Bodyweight,Dynamic,Squat,Medium Priority,1,,,
squat to lunges,Legs,Quads,"Glutes, Hamstrings",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
swimmer's overhead press,Shoulders,Shoulders,"Upper Back, Traps",Bodyweight,Dynamic,Press,Medium Priority,1,15x2,,
"burpee with pushup, jump and reach",Conditioning,Full Body,Cardio,Bodyweight,Plyometric,Complex,Medium Priority,1,,,
sled push,Conditioning,Legs,"Full Body, Power",Sled,Push,Push,Medium Priority,1,300,,
DB fly,Chest,Pectorals,Front Delts,Dumbbell,Isolation,Fly,Medium Priority,1,15x2,3,
chest fly,Chest,Pectorals,Front Delts,Bodyweight,Isolation,Fly,Medium Priority,1,25x2,,
pectoral,Chest,Pectorals,Front Delts,Bodyweight,Isolation,Fly,Medium Priority,1,,,
straight leg kick-up,Conditioning,Legs,"Hip Flexors, Core",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
straight leg kickup,Conditioning,Legs,"Hip Flexors, Core",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
circle up,Core,Abs,"Obliques, Hip Flexors",Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
"side plank, foot tap front and back, bosu ball",Core,Obliques,"Hip Flexors, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"single leg plank, up and out, bosu ball",Core,Abs,"Shoulders, Hip Flexors",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
adductor,Legs,Adductors,Inner Thigh,Bodyweight,Isolation,Adduction,Medium Priority,1,140; 130; 120,3,
leg extension,Legs,Quads,,Machine,Isolation,Knee Extension,Medium Priority,1,,,
"leg extension, 1-1-4-1",Legs,Quads,,Machine,Isolation,Knee Extension,Medium Priority,1,110; 120,,
slient single leg balance,Legs,Balance,Stabilizers,Bodyweight,Stability,Balance,Medium Priority,1,,,
delt rear fly,Shoulders,Rear Delts,Upper Back,Bodyweight,Isolation,Fly,Medium Priority,1,,,
"face pull, cable",Shoulders,Rear Delts,"Traps, Rhomboids",Cable,Isolation,Pull,Medium Priority,1,40,3,
front and lateral raises,Shoulders,Shoulders,Traps,Bodyweight,Isolation,Raise,Medium Priority,1,10x2,,
burpee without pushup,Conditioning,Full Body,Cardio,Bodyweight,Plyometric,Complex,Accessory,1,,,
diamond jump,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,,,
"jump to plank, pushup to side plank, jump back to standing",Conditioning,Full Body,"Cardio, Core",Bodyweight,Complex,Complex,Accessory,1,,,
ply:,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,3min,,
plyo:,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,,,
tuck jump,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,,,
RDL review,Legs,Hamstrings,Glutes,Barbell,Technique,Hip Hinge,Accessory,1,,,
"bulgarian split squat, plyo",Legs,Quads,"Glutes, Power",Bodyweight,Plyometric,Jump,Accessory,1,,3,
lunge squat plyo,Legs,Quads,"Glutes, Power",Bodyweight,Plyometric,Jump,Accessory,1,,3,
side/transverse lunge jump,Legs,Quads,"Adductors, Power",Bodyweight,Plyometric,Jump,Accessory,1,,,
squat hop,Legs,Quads,"Calves, Power",Bodyweight,Plyometric,Jump,Accessory,1,,,
squat hops,Legs,Quads,"Calves, Power",Bodyweight,Plyometric,Jump,Accessory,1,,,
"warrior 3, arms back, by side, front",Mobility,Balance,"Glutes, Core",Bodyweight,Balance,Balance,Accessory,1,,,
"triceps, cable",Arms,Triceps,,Cable,Isolation,Extension,Accessory,1,,,barbell rdl tempo
upright hammer curl,Arms,Biceps,"Brachialis, Forearms",Dumbbell,Isolation,Curl,Accessory,1,20x2,3,
bosu ham,Legs,Hamstrings,"Glutes, Balance",Bodyweight,Isolation,Curl,Accessory,1,,,
ten two,Conditioning,Full Body,Cardio,Bodyweight,Complex,Complex,Accessory,1,,,
Day,Invalid,N/A,,N/A,N/A,N/A,Accessory,1,,,
downward dog on yoga ball,Mobility,Shoulders,"Hamstrings, Core",Bodyweight,Stretch,Stretch,Accessory,1,,,
